eu
     19599
     56.194747897      86.878186273     345.599508889
     14.400491111      86.878186273     303.805252103
     53.028875503      86.818002638     348.914278658
     11.085721342      86.818002638     306.971124497
     49.809356160      86.787122512     352.209912214
     48.181365151      88.303901004     349.848394948
     10.151605052      88.303901004     311.818634849
      7.790087786      86.787122512     310.190643840
     46.516495646      86.792634566     355.489200547
     45.007787089      88.291513448     353.056849113
     43.328591293      89.668946022     350.569644466
     41.485529873      90.907007374     348.031659107
     11.968340893      90.907007374     318.514470127
      9.430355534      89.668946022     316.671408707
      6.943150887      88.291513448     314.992212911
      4.510799453      86.792634566     313.483504354
     43.122916046      86.845174540     358.753104614
     41.756418443      88.311476493     356.251992805
     40.200206196      89.668553803     353.699309096
     38.460109368      90.896048982     351.099305299
     36.544918173      91.974297265     348.459290741
     34.466543924      92.884981940     345.789842224
     14.210157776      92.884981940     325.533456076
     11.540709259      91.974297265     323.455081827
      8.900694701      90.896048982     321.539890632
      6.300690904      89.668553803     319.799793804
      3.748007195      88.311476493     318.243581557
      1.246895386      86.845174540     316.877083954
     41.646247586      86.246319182       1.675858355
     38.394643738      88.374987235     359.434162518
     36.989373054      89.696416538     356.819096241
     35.377460164      90.902209422     354.158225404
     33.566644805      91.969560435     351.459664953
     31.568495383      92.876941292     348.735168230
     29.398447434      93.605007032     346.000229789
     13.999770211      93.605007032     330.601552566
     11.264831770      92.876941292     328.431504617
      8.540335047      91.969560435     326.433355195
      5.841774596      90.902209422     324.622539836
      3.180903759      89.696416538     323.010626946
      0.565837482      88.374987235     321.605356262
    358.324141645      86.246319182     318.353752414
     40.008293588      85.685643114       4.608102664
     36.936551797      87.844518433       2.359394599
     33.656678937      89.764293524     359.928708697
      0.071291303      89.764293524     326.343321063
    357.640605401      87.844518433     323.063448203
    355.391897336      85.685643114     319.991706412
     35.301316221      87.354531456       5.287614602
    354.712385398      87.354531456     324.698683779
     33.492470636      86.916576596       8.206420218
    351.793579782      86.916576596     326.507529364
     31.516054649      86.541447560      11.102018508
    348.897981492      86.541447560     328.483945351
     29.380589987      86.238745981      13.959369011
    346.040630989      86.238745981     330.619410013
     13.959369011      86.238745981      29.380589987
    330.619410013      86.238745981     346.040630989
     11.102018508      86.541447560      31.516054649
    328.483945351      86.541447560     348.897981492
      8.206420218      86.916576596      33.492470636
    326.507529364      86.916576596     351.793579782
      5.287614602      87.354531456      35.301316221
    324.698683779      87.354531456     354.712385398
      4.608102664      85.685643114      40.008293588
      2.359394599      87.844518433      36.936551797
    359.928708697      89.764293524      33.656678937
    326.343321063      89.764293524       0.071291303
    323.063448203      87.844518433     357.640605401
    319.991706412      85.685643114     355.391897336
      1.675858355      86.246319182      41.646247586
    359.434162518      88.374987235      38.394643738
    356.819096241      89.696416538      36.989373054
    354.158225404      90.902209422      35.377460164
    351.459664953      91.969560435      33.566644805
    348.735168230      92.876941292      31.568495383
    346.000229789      93.605007032      29.398447434
    330.601552566      93.605007032      13.999770211
    328.431504617      92.876941292      11.264831770
    326.433355195      91.969560435       8.540335047
    324.622539836      90.902209422       5.841774596
    323.010626946      89.696416538       3.180903759
    321.605356262      88.374987235       0.565837482
    318.353752414      86.246319182     358.324141645
    358.753104614      86.845174540      43.122916046
    356.251992805      88.311476493      41.756418443
    353.699309096      89.668553803      40.200206196
    351.099305299      90.896048982      38.460109368
    348.459290741      91.974297265      36.544918173
    345.789842224      92.884981940      34.466543924
    325.533456076      92.884981940      14.210157776
    323.455081827      91.974297265      11.540709259
    321.539890632      90.896048982       8.900694701
    319.799793804      89.668553803       6.300690904
    318.243581557      88.311476493       3.748007195
    316.877083954      86.845174540       1.246895386
    355.489200547      86.792634566      46.516495646
    353.056849113      88.291513448      45.007787089
    350.569644466      89.668946022      43.328591293
    348.031659107      90.907007374      41.485529873
    318.514470127      90.907007374      11.968340893
    316.671408707      89.668946022       9.430355534
    314.992212911      88.291513448       6.943150887
    313.483504354      86.792634566       4.510799453
    352.209912214      86.787122512      49.809356160
    349.848394948      88.303901004      48.181365151
    311.818634849      88.303901004      10.151605052
    310.190643840      86.787122512       7.790087786
